id,x,y,z,type,excitation_type
130,-11.35,-376.2503,-6.839593,IL2DR,3
131,6.75,-371.8881,-0.002356855,IL2L,3
132,-11.0,-371.8881,-0.002356855,IL2R,3
133,3.3,-373.8994,7.211992,IL2VL,3
134,-7.6,-373.8994,7.211992,IL2VR,3
135,1.35,360.0902,3.118367,LUAL,3
136,-3.85,360.0902,3.118367,LUAR,3
137,-0.867,-339.951,-7.274591,M1,3
138,3.7,-339.487,-1.111488,M2L,3
139,-8.0,-339.487,-1.111488,M2R,3
140,3.75,-381.7673,3.767066,M3L,3
141,-8.05,-381.7673,3.767066,M3R,3
142,-2.033,-377.7206,-6.919371,M4,3
143,-2.2,-329.4457,-9.629187,M5,3
144,3.2,-383.4194,-0.1181522,MCL,3
145,-7.25,-383.4194,-0.1181522,MCR,3
146,-2.154,-381.8269,-4.995534,MI,3
147,2.6,-379.5145,-0.5080914,NSML,3
148,-6.35,-379.5145,-0.5080914,NSMR,3
149,4.4,-371.0259,-0.959221,OLLL,3
150,-8.65,-371.0259,-0.959221,OLLR,3
151,2.775,-368.345,-5.347116,OLQDL,3
152,-7.025,-368.345,-5.347116,OLQDR,3
153,4.2,-364.7149,3.457248,OLQVL,3
154,-8.474999,-364.7149,3.457248,OLQVR,3
155,-2.95,341.7911,7.197326,PDA,3
156,-3.3,338.7541,8.667197,PDB,3
157,25.75,95.06381,2.677778,PDEL,3
158,-27.35,95.06381,2.677778,PDER,3
159,1.2,359.267,2.803413,PHAL,3
160,-3.8,359.267,2.803413,PHAR,3
161,1.2,362.2012,2.487489,PHBL,3
162,-3.725,362.2012,2.487489,PHBR,3
163,0.75,365.7373,2.072205,PHCL,3
164,-3.425,365.7373,2.072205,PHCR,3
165,2.5,367.2878,1.845091,PLML,3
166,-3.675,367.2878,1.845091,PLMR,3
167,4.225,359.6723,-0.03050867,PLNL,3
168,-6.225,359.6723,-0.03050867,PLNR,3
169,-0.325,364.5588,1.131379,PQR,3
170,0.85,360.8967,1.934901,PVCL,3
171,-3.45,360.8967,1.934901,PVCR,3
172,24.749,126.2901,-1.308249,PVDL,3
173,-26.114,126.2901,-1.308249,PVDR,3
174,24.85,140.5385,0.137159,PVM,3
175,0.55,367.4772,1.129361,PVNL,3
176,-3.25,367.4324,1.107045,PVNR,3
177,-0.1,319.9947,11.02239,PVPL,3
178,-0.15,309.9682,10.76575,PVPR,3
179,0.85,359.1609,1.645303,PVQL,3
180,-3.3,359.1609,1.645303,PVQR,3
181,-1.85,364.6247,1.10558,PVR,3
182,-0.1,311.8919,12.04964,PVT,3
183,0.8,362.5111,1.183793,PVWL,3
184,-3.4,362.5111,1.183793,PVWR,3
185,4.0,-356.544,-0.6210581,RIAL,3
186,-8.2,-356.544,-0.6210581,RIAR,3
187,5.5,-348.3825,3.614484,RIBL,3
188,-9.8,-348.3825,3.614484,RIBR,3
189,-0.737,-350.9412,4.597103,RICL,3
190,-3.563,-350.9412,4.597103,RICR,3
191,-1.225,-361.805,-9.2063,RID,3
192,0.0,-317.1709,10.40651,RIFL,3
193,-5.15,-324.8802,8.142299,RIFR,3
194,0.0,-310.3141,9.015897,RIGL,3
195,-4.7,-320.1364,9.366378,RIGR,3
196,-2.0,-350.3764,6.678004,RIH,3
197,3.5,-345.5892,1.309511,RIML,3
198,-7.75,-345.5892,1.309511,RIMR,3
199,3.375,-365.6255,-1.404486,RIPL,3
200,-7.625,-365.6255,-1.404486,RIPR,3
201,-11.6,-349.2746,5.466279,RIR,3
202,-4.825,-344.5239,6.718059,RIS,3
203,4.5,-353.9707,-7.415606,RIVL,3
204,-8.75,-353.9707,-7.415606,RIVR,3
205,3.6,-352.6661,5.77182,RMDDL,3
206,-7.75,-352.6661,5.77182,RMDDR,3
207,3.1,-355.8705,3.193252,RMDL,3
208,-7.4,-355.8705,3.193252,RMDR,3
209,4.85,-357.213,0.2816126,RMDVL,3
210,-9.049999,-357.213,0.2816126,RMDVR,3
211,-1.5,-365.9134,-11.47704,RMED,3
212,4.65,-361.108,-1.029685,RMEL,3
213,-8.900001,-361.108,-1.029685,RMER,3
214,-2.033,-355.638,9.061965,RMEV,3
215,1.1,-347.4389,7.468774,RMFL,3
216,-5.4,-347.4389,7.468774,RMFR,3
217,8.25,-322.5583,-2.99262,RMGL,3
218,-12.5,-322.5583,-2.99262,RMGR,3
219,1.1,-348.9,6.339309,RMHL,3
220,-5.3,-348.9,6.339309,RMHR,3
221,-4.688,-355.4169,2.021853,SAADL,3
222,0.531,-355.4169,2.021853,SAADR,3
223,3.9,-357.2977,-0.7825777,SAAVL,3
224,-8.175,-357.2977,-0.7825777,SAAVR,3
225,-3.2,-311.0132,11.01047,SABD,3
226,3.325,-328.4911,9.460897,SABVL,3
227,-8.1,-328.4911,9.460897,SABVR,3
228,21.4,173.8128,-6.716793,SDQL,3
229,-14.2,-208.1101,-17.52841,SDQR,3
230,-3.958,-353.7628,-0.6141688,SIADL,3
231,-0.383,-355.0753,0.2527643,SIADR,3
232,5.95,-341.7171,6.996918,SIAVL,3
233,-10.2,-341.7171,6.996918,SIAVR,3
234,-5.267,-355.8047,-1.770831,SIBDL,3
235,0.967,-355.8047,-1.770831,SIBDR,3
236,-2.667,-352.5426,8.146392,SIBVL,3
237,-2.767,-352.5426,8.146392,SIBVR,3
238,3.1,-346.2997,8.0819,SMBDL,3
239,-7.0,-346.2997,8.0819,SMBDR,3
240,0.425,-345.5026,7.782339,SMBVL,3
241,-4.6,-345.5026,7.782339,SMBVR,3
242,3.25,-348.5908,7.947684,SMDDL,3
243,-7.45,-348.5908,7.947684,SMDDR,3
