pre_id,post_id,pre_class_label,post_class_label,syn_num,excitation_type
27478208288,1536930472,UNKNOWN,DENDRITE,1,1
27478208288,1915126128,UNKNOWN,DENDRITE,1,1
27478208288,28525770719,UNKNOWN,DENDRITE,1,1
27478208288,37406317762,UNKNOWN,DENDRITE,1,1
27478208288,37536734693,UNKNOWN,DENDRITE,1,1
27478208288,37420743412,UNKNOWN,DENDRITE,1,1
27478208288,37420743412,UNKNOWN,DENDRITE,1,1
27478208288,2644081619,UNKNOWN,DENDRITE,1,1
27478208288,37536734693,UNKNOWN,DENDRITE,1,1
27478208288,28060130900,UNKNOWN,DENDRITE,1,1
37714443412,2863184351,UNKNOWN,DENDRITE,1,1
28745838008,37770758892,UNKNOWN,DENDRITE,1,1
28745838008,38222309348,UNKNOWN,DENDRITE,1,1
28745838008,37770758892,UNKNOWN,DENDRITE,1,1
28745838008,28934846527,UNKNOWN,DENDRITE,1,1
28745838008,37770758892,UNKNOWN,DENDRITE,1,0
28745838008,37770758892,UNKNOWN,DENDRITE,1,0
28745838008,2003492425,UNKNOWN,DENDRITE,1,1
28745838008,2194005518,UNKNOWN,DENDRITE,1,1
28745838008,45865276400,UNKNOWN,DENDRITE,1,1
28745838008,30767987832,UNKNOWN,DENDRITE,1,1
28745838008,37770758892,UNKNOWN,DENDRITE,1,1
28745838008,37770758892,UNKNOWN,DENDRITE,1,1
28745838008,37770758892,UNKNOWN,DENDRITE,1,1
4475908275,29949909149,UNKNOWN,DENDRITE,1,1
4475908275,3237685115,UNKNOWN,DENDRITE,1,1
4475908275,29324563141,UNKNOWN,DENDRITE,1,1
4475908275,4255154834,UNKNOWN,DENDRITE,1,1
3605322777,2848772571,UNKNOWN,DENDRITE,1,0
3605322777,3183821571,UNKNOWN,DENDRITE,1,0
3605322777,29314035227,UNKNOWN,DENDRITE,1,0
3605322777,2601738464,UNKNOWN,DENDRITE,1,0
3605322777,3183821571,UNKNOWN,DENDRITE,1,0
3605322777,1204685825,UNKNOWN,DENDRITE,1,1
3605322777,30100168221,UNKNOWN,DENDRITE,1,0
3605322777,2499574436,UNKNOWN,DENDRITE,1,0
3605322777,2659981075,UNKNOWN,DENDRITE,1,1
3605322777,30100168221,UNKNOWN,DENDRITE,1,0
3605322777,3722336223,UNKNOWN,DENDRITE,1,0
3605322777,2833952006,UNKNOWN,DENDRITE,1,0
3605322777,3503992668,UNKNOWN,DENDRITE,1,0
3605322777,3489216996,UNKNOWN,DENDRITE,1,0
3605322777,2847925889,UNKNOWN,DENDRITE,1,0
3605322777,2659820373,UNKNOWN,DENDRITE,1,0
3605322777,3212804083,UNKNOWN,DENDRITE,1,0
3605322777,2909017956,UNKNOWN,DENDRITE,1,0
3605322777,2659981075,UNKNOWN,DENDRITE,1,0
3605322777,2848626486,UNKNOWN,DENDRITE,1,0
3605322777,2659981075,UNKNOWN,DENDRITE,1,0
3605322777,1976247199,UNKNOWN,DENDRITE,1,0
3605322777,29765396306,UNKNOWN,DENDRITE,1,0
3605322777,2542837524,UNKNOWN,DENDRITE,1,0
3605322777,2659981075,UNKNOWN,DENDRITE,1,0
3605322777,3518665873,UNKNOWN,DENDRITE,1,0
3605322777,3110714366,UNKNOWN,DENDRITE,1,0
5433398030,4137383546,UNKNOWN,DENDRITE,1,1
5433398030,5055406469,UNKNOWN,DENDRITE,1,1
5433398030,4531947169,UNKNOWN,DENDRITE,1,1
5433398030,5288000794,UNKNOWN,DENDRITE,1,1
40944898326,4580845114,UNKNOWN,DENDRITE,1,1
40944898326,4915733624,UNKNOWN,DENDRITE,1,1
6322366087,5535779437,UNKNOWN,DENDRITE,1,0
6322366087,5420300029,UNKNOWN,DENDRITE,1,1
6322366087,5668429595,UNKNOWN,DENDRITE,1,1
38267441706,29896439793,UNKNOWN,DENDRITE,1,1
38267441706,38266826606,UNKNOWN,DENDRITE,1,0
38267441706,3052908678,UNKNOWN,DENDRITE,1,1
38267441706,39081564265,UNKNOWN,DENDRITE,1,0
38267441706,38747362188,UNKNOWN,DENDRITE,1,0
38267441706,38543488421,UNKNOWN,DENDRITE,1,1
38267441706,4290212698,UNKNOWN,DENDRITE,1,1
38267441706,38266826606,UNKNOWN,DENDRITE,1,1
38267441706,3300381294,UNKNOWN,DENDRITE,1,1
38267441706,38543488421,UNKNOWN,DENDRITE,1,1
38267441706,1975281707,UNKNOWN,DENDRITE,1,1
38267441706,3502458866,UNKNOWN,DENDRITE,1,0
38267441706,38543488421,UNKNOWN,DENDRITE,1,1
38267441706,38747362188,UNKNOWN,DENDRITE,1,1
6618401330,41091698029,UNKNOWN,DENDRITE,1,1
2963916394,2834375510,UNKNOWN,DENDRITE,1,1
2963916394,2644475905,UNKNOWN,DENDRITE,1,1
29514580369,38699747664,UNKNOWN,DENDRITE,1,1
29514580369,29354246715,UNKNOWN,DENDRITE,1,1
29514580369,2276967555,UNKNOWN,DENDRITE,1,1
5208352652,5178478472,UNKNOWN,DENDRITE,1,1
5208352652,4713684670,UNKNOWN,DENDRITE,1,1
5208352652,40377782563,UNKNOWN,DENDRITE,1,1
30490393785,4767928596,UNKNOWN,DENDRITE,1,1
13880587619,39427227492,UNKNOWN,DENDRITE,1,1
13880587619,4141107961,UNKNOWN,DENDRITE,1,1
13880587619,5449224616,UNKNOWN,DENDRITE,1,1
13880587619,5116555602,UNKNOWN,DENDRITE,1,1
13880587619,3805999426,UNKNOWN,DENDRITE,1,1
4391865117,4842539836,UNKNOWN,SOMA,1,1
32281760788,6282109481,UNKNOWN,DENDRITE,1,1
32281760788,6181187934,UNKNOWN,DENDRITE,1,1
33111244340,31873897508,UNKNOWN,DENDRITE,1,1
33111244340,33009153960,UNKNOWN,DENDRITE,1,1
33111244340,31947879672,UNKNOWN,DENDRITE,1,1
33111244340,33009153960,UNKNOWN,DENDRITE,1,0
33111244340,33009153960,UNKNOWN,DENDRITE,1,1
33111244340,40986672885,UNKNOWN,DENDRITE,1,1
33111244340,6385207860,UNKNOWN,DENDRITE,1,1
33111244340,5293286102,UNKNOWN,DENDRITE,1,1
33111244340,6673328708,UNKNOWN,DENDRITE,1,1
33111244340,41176222792,UNKNOWN,DENDRITE,1,1
33111244340,5148182521,UNKNOWN,DENDRITE,1,1
33111244340,5293286102,UNKNOWN,DENDRITE,1,1
4522237537,5030716561,UNKNOWN,DENDRITE,1,1
4522237537,4593795841,UNKNOWN,DENDRITE,1,1
