id,x,y,z,type,excitation_type,layer
1666982509,282238,81818,3840,PYRAMIDAL,1,3
38920688546,342679,148287,3456,INTERNEURON,0,3
29750940884,374480,133121,4096,PYRAMIDAL,1,2
6342864215,378290,227858,1536,PYRAMIDAL,1,3
80568552640,326897,63681,5120,INTERNEURON,0,2
32354721233,326606,212911,3712,PYRAMIDAL,1,4
63448879412,311219,84454,4608,INTERNEURON,0,2
45673141382,266755,51166,4992,PYRAMIDAL,1,0
5421119121,216871,221408,4352,PYRAMIDAL,1,6
36692344214,314224,67599,4992,PYRAMIDAL,1,2
6457687846,307021,226627,3712,PYRAMIDAL,1,5
41542415875,367792,240832,4096,PYRAMIDAL,1,3
40289226919,313704,198393,2432,PYRAMIDAL,1,4
3198086961,373791,139525,2944,PYRAMIDAL,1,2
5768227279,167515,206213,3072,PYRAMIDAL,1,6
34259627862,226361,265995,3072,PYRAMIDAL,1,6
2860453378,301037,118393,3328,PYRAMIDAL,1,3
6126390733,427736,214597,896,INTERNEURON,0,2
38149771733,351563,118974,3328,INTERNEURON,0,2
2640488670,206638,147546,2176,PYRAMIDAL,1,5
30922643423,152361,159458,4608,PYRAMIDAL,1,5
2204254594,255081,110121,4608,PYRAMIDAL,1,3
999803795,350923,81846,384,PYRAMIDAL,1,2
3385125554,278430,149903,2688,PYRAMIDAL,1,4
18134617294,382485,49516,1536,INTERNEURON,0,1
36913067348,350032,89242,3584,PYRAMIDAL,1,2
1915887451,323314,93668,640,INTERNEURON,0,2
4233370204,403041,163268,1536,INTERNEURON,0,2
33241806681,259437,237470,5248,PYRAMIDAL,1,5
2523943492,224759,113625,1152,PYRAMIDAL,1,4
2105961568,354402,104121,2304,PYRAMIDAL,1,2
2047644309,339769,108211,896,PYRAMIDAL,1,2
3999958579,391586,168740,1280,PYRAMIDAL,1,2
83059191507,365856,136895,4992,INTERNEURON,0,2
13574170858,253976,169434,4096,PYRAMIDAL,1,5
27244941796,309884,56377,2688,PYRAMIDAL,1,2
29994573904,261042,142767,4736,PYRAMIDAL,1,4
30800023543,399499,169121,3968,PYRAMIDAL,1,2
3737388888,374429,151474,3328,PYRAMIDAL,1,2
32159769901,150754,213738,4608,PYRAMIDAL,1,7
32778195552,349504,232074,2944,PYRAMIDAL,1,4
30240424585,210506,147316,3584,PYRAMIDAL,1,5
662914665,288895,54830,0,PYRAMIDAL,1,2
69068513173,335579,256489,3584,PYRAMIDAL,1,4
6397866542,237594,229063,4096,PYRAMIDAL,1,5
5918005808,305705,225651,1408,PYRAMIDAL,1,5
