left_id,right_id,celltype,additional_annotations,level_7_cluster
15727304,15672153,sensory,gustatory-pharyngeal,7
15725545,15639275,sensory,gustatory-pharyngeal,7
15678849,15618976,sensory,gustatory-external,7
15725127,15637893,sensory,gustatory-pharyngeal,7
15724636,15671848,sensory,gustatory-pharyngeal,7
15724520,15638520,sensory,gustatory-pharyngeal,7
15713374,15620432,sensory,gustatory-external,7
15700147,15743905,sensory,gustatory-external,7
17608754,16362243,sensory,gustatory-pharyngeal,7
no pair,766246,sensory,visual,8
no pair,902877,sensory,visual,8
19101351,3848843,PN,gustatory-external 2nd_order PN,8
2216187,no pair,sensory,visual,8
7480731,no pair,sensory,visual,8
15608355,6252764,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,8
no pair,7778722,sensory,visual,8
no pair,7485368,sensory,visual,8
12089601,11838242,PN,gustatory-pharyngeal 2nd_order PN,8
7483922,no pair,sensory,visual,8
2209091,no pair,sensory,visual,8
5116861,4059758,sensory,gustatory-external,9
15723479,15640548,sensory,gustatory-pharyngeal,9
5095269,4030526,sensory,gustatory-external,9
15995327,15748726,sensory,gut,9
17359101,865151,DN-SEZ,no official annotation,9
17380936,15542354,sensory,gut,9
15714330,15638742,sensory,gustatory-external,9
15994926,15576194,sensory,gut,9
1351125,15564911,sensory,gut,9
15690955,15617459,sensory,gustatory-external,9
3032520,15640425,sensory,gustatory-pharyngeal,9
no pair,15574508,sensory,gut,9
no pair,15575052,sensory,gut,9
15711222,15607180,sensory,gustatory-external,9
1419315,15575232,sensory,gut,9
15699715,18833414,sensory,gustatory-external,9
5030808,10831005,LN,no official annotation,10
8273369,4247099,LN,no official annotation,10
5291791,8199671,LN,no official annotation,10
7941642,8198513,LN,no official annotation,10
7941652,8198416,LN,_broad D1,10
8877971,3806573,LN,no official annotation,10
7939979,8198317,LN,no official annotation,10
7939890,6557581,LN,no official annotation,10
8274021,11051276,LN,no official annotation,10
8311264,8198238,LN,no official annotation,10
10555409,5247102,LN,no official annotation,10
8102935,7600311,LN,no official annotation,10
7394271,8231264,LN,no official annotation,10
