left_id,right_id,celltype,additional_annotations,level_7_cluster
14333371,2932028,LHN,no official annotation,38
9792178,2920061,LN,PL-4,38
3946569,8813113,LHN,no official annotation,38
9445876,4102413,LN,no official annotation,38
17696578,16260741,LHN,no official annotation,38
2379529,3815483,LHN,no official annotation,38
no pair,4227544,KC,KC,39
4134539,no pair,KC,KC,39
8118474,4229950,KC,KC,40
8262372,8068173,KC,KC,40
7187384,3664102,KC,KC,40
12726582,4415241,KC,KC,40
4780707,15683275,LHN,no official annotation,41
5474852,17591442,LN,CN-5,41
8238322,11210000,LHN,LHN-2,41
11135340,11645541,LN,no official annotation,41
no pair,7196392,KC,KC,42
6702830,no pair,KC,KC,42
16631222,no pair,KC,KC,42
no pair,7838405,KC,KC,42
no pair,9847388,KC,KC,42
8248706,no pair,KC,KC,42
no pair,29,KC,KC,42
12217572,no pair,KC,KC,42
no pair,3497901,KC,KC,42
no pair,3347834,KC,KC,42
8864096,no pair,KC,KC,42
no pair,10259967,KC,KC,42
11785627,no pair,KC,KC,42
no pair,8835968,KC,KC,42
no pair,8997281,KC,KC,42
16015738,no pair,KC,KC,42
16939375,8924186,KC,KC,42
15861524,no pair,KC,KC,42
16630024,no pair,KC,KC,42
8393981,no pair,KC,KC,42
15734988,no pair,KC,KC,42
no pair,9730873,KC,KC,42
no pair,8419602,KC,KC,42
6494382,2963280,LHN,no official annotation,43
2439067,3814853,LHN,LHN-8,43
5118060,15605987,LHN,mechano-Ch 2nd_order PN,43
12325227,9507904,PN-somato,FFN-29; noci 2nd_order PN,43
16799939,15676571,CN,no official annotation,43
14818307,3932136,LHN,no official annotation,43
2964760,10855798,pre-DN-VNC,no official annotation,44
18087179,17587452,PN,gustatory-external 2nd_order PN,44
14756000,13634759,PN,gustatory-external 2nd_order PN,44
12360656,17819985,PN,gustatory-external 2nd_order PN,44
11029359,3232277,CN,no official annotation,44
17732791,15334461,DN-SEZ,no official annotation,44
10961507,3232808,LHN,no official annotation,44
17557290,10946002,CN,no official annotation,44
18527962,19508873,DN-VNC,no official annotation,44
17036160,15547235,PN,gustatory-external 2nd_order PN,44
17732085,8698941,LHN,no official annotation,44
18648531,13665529,CN,no official annotation,44
5746180,20443501,pre-DN-VNC,no official annotation,44
13832416,5591201,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,44
17036132,11157622,PN,gustatory-external 2nd_order PN,44
16422744,15589591,pre-DN-VNC,no official annotation,44
17360022,9565674,pre-DN-VNC,no official annotation,44
2568522,12612426,PN,gustatory-external 2nd_order PN,44
19880740,16223688,pre-DN-VNC,no official annotation,44
13833814,16316981,DN-SEZ,no official annotation,44
15519213,5791548,CN,no official annotation,44
17277623,10013517,PN,gustatory-external 2nd_order PN,44
11037238,7719118,LHN,noci 2nd_order PN,46
14519756,7467027,pre-DN-VNC,no official annotation,46
10893103,9720614,PN-somato,noci 2nd_order PN,46
5691934,3862443,PN-somato,noci 2nd_order PN,46
17732031,11081239,pre-DN-VNC,no official annotation,46
11291653,8412625,PN-somato,noci 2nd_order PN,46
5657004,5134110,pre-DN-VNC,no official annotation,46
16848497,9798791,MB-FFN,FFN-33,46
21136945,17654638,PN-somato,mechano-Ch 2nd_order PN,46
8253620,18639459,pre-DN-VNC,no official annotation,46
11084320,8461082,pre-DN-VNC,no official annotation,46
5679304,8689148,MB-FFN,FFN-34,47
16100461,8711574,LHN,no official annotation,47
12839441,17125520,LHN,LHN-18; CN-54,47
10018260,17379372,LHN,no official annotation,47
17038587,8065771,LHN,CN-29,47
19045334,9585036,LHN,no official annotation,47
10209260,17437719,MB-FBN,FBN-18,47
11004239,8069478,LHN,LHN-17; CN-53,47
4680995,17806341,LHN,LHN-4; PL-2; noci 2nd_order PN,47
8203947,17952967,LHN,no official annotation,47
2988292,19046339,pre-DN-VNC,_Two-headed cobra,47
12667895,17425996,PN-somato,noci 2nd_order PN,47
12617396,3844799,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,47
8423405,11137808,LHN,CN-3,47
8539175,13988443,CN,CN-40,47
4433960,13806524,CN,no official annotation,47
8838927,17107661,MB-FFN,FFN-32,47
4422289,11605861,LHN,no official annotation,47
14319498,17942676,LHN,no official annotation,47
12670738,17847543,MB-FFN,FFN-31,47
17361757,12813847,LHN,CN-27,47
2979675,7422253,pre-DN-VNC,no official annotation,48
8167696,7429933,pre-DN-VNC,no official annotation,48
5745110,4127926,pre-DN-VNC,no official annotation,48
16096934,13049485,pre-DN-SEZ,no official annotation,48
no pair,10169396,KC,KC,49
no pair,8504660,KC,KC,49
no pair,8427677,KC,KC,49
16631248,no pair,KC,KC,49
16627950,no pair,KC,KC,49
no pair,16625432,KC,KC,49
16440704,no pair,KC,KC,49
16017113,no pair,KC,KC,49
no pair,4982172,KC,KC,49
no pair,9707941,KC,KC,49
15722306,no pair,KC,KC,49
15691114,no pair,KC,KC,49
no pair,8509987,KC,KC,49
14319960,no pair,KC,KC,49
14255342,no pair,KC,KC,49
no pair,677717,KC,KC,49
3819171,no pair,KC,KC,49
11691640,no pair,KC,KC,49
8318678,no pair,KC,KC,49
no pair,3522293,KC,KC,49
5033480,5700090,pre-DN-VNC,no official annotation,50
17804729,11050498,pre-DN-VNC,no official annotation,50
17729110,16399845,LHN,no official annotation,50
17360038,17378483,pre-DN-VNC,no official annotation,50
15608953,15632120,pre-DN-VNC,no official annotation,50
17360010,15638906,pre-DN-VNC,no official annotation,50
10885466,12548756,pre-DN-VNC,no official annotation,50
3060480,17380080,pre-DN-VNC,no official annotation,50
10282065,5946241,PN-somato,mechano-Ch 2nd_order PN,50
12371688,9811608,LHN,no official annotation,50
3048606,3009700,DN-VNC,no official annotation,50
10922020,17123466,LHN,no official annotation,50
10922928,3149791,pre-DN-VNC,no official annotation,50
2438653,10627239,pre-DN-VNC,no official annotation,50
9835169,9503203,sensory,respiratory,51
16424131,13167025,DN-SEZ,no official annotation,51
5671303,8696919,pre-DN-VNC,no official annotation,52
17360076,15655801,pre-DN-VNC,no official annotation,52
5764924,10947427,DN-SEZ,no official annotation,52
10716080,3595837,DN-VNC,no official annotation,52
10949382,16945771,ascending,mechano-Ch,52
3882998,11261332,DN-SEZ,no official annotation,52
15588711,10945795,DN-VNC,no official annotation,52
4400767,13751194,RGN,no official annotation,52
7227010,16115575,DN-VNC,no official annotation,52
6723364,10198121,PN-somato,noci 2nd_order PN,52
18058644,8939384,PN-somato,noci 2nd_order PN,52
16636860,11623145,pre-DN-VNC,no official annotation,52
16366055,17654645,pre-DN-VNC,no official annotation,52
16356967,10319019,PN-somato,Tel10; noci 2nd_order PN,52
10728323,2655798,DN-SEZ,no official annotation,52
15365184,5512988,DN-VNC,no official annotation,52
18149325,14757050,pre-DN-VNC,no official annotation,52
5763407,10945111,DN-VNC,no official annotation,52
2511238,3093284,ascending,A00c_a4; noci,52
17086412,17362538,pre-DN-VNC,no official annotation,52
3928574,5890323,RGN,no official annotation,52
9795662,15250080,DN-SEZ,no official annotation,52
10728318,3598000,DN-VNC,no official annotation,52
7694589,8271034,LN,no official annotation,52
8347907,5503982,pre-DN-VNC,no official annotation,52
8347720,18302610,pre-DN-VNC,no official annotation,52
5684940,7982324,DN-SEZ,no official annotation,52
8391330,5993765,DN-VNC,no official annotation,52
1042538,1690576,ascending,A00c_a6; noci,52
10609443,6114695,DN-VNC,no official annotation,52
1011675,15541944,sensory,gustatory-pharyngeal,52
6623049,17654634,LN,no official annotation,52
15676016,3058132,pre-DN-VNC,PL-7,52
9787859,11941255,DN-SEZ,no official annotation,52
17321919,4215611,DN-SEZ,no official annotation,52
6604203,2670619,DN-SEZ,no official annotation,52
17473163,16571210,DN-VNC,no official annotation,52
11003707,17525174,LN,no official annotation,53
4379603,8307514,LHN,no official annotation,53
16089738,9641919,CN,no official annotation,53
17047087,7431625,LHN,no official annotation,53
4391317,11826171,LHN,no official annotation,53
9207332,8305958,LHN,no official annotation,53
11051740,7421507,MB-FFN,FFN-13,53
9983417,17658884,pre-DN-VNC,no official annotation,53
7582489,7977834,LHN,no official annotation,53
13852833,9457719,MB-FBN,FB2N-4,53
2439134,4099900,LHN,no official annotation,53
10710503,18142558,LHN,no official annotation,53
5963873,4101621,LHN,no official annotation,53
3543931,13795090,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,53
12281339,9585013,LHN,no official annotation,53
11703922,16181377,LHN,LHN-16; CN-52,53
15343835,4114133,MB-FBN,FB2N-9,53
12356747,19857573,MB-FFN,FFN-11,53
14434314,13369670,LHN,no official annotation,53
16906721,5590611,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,53
12138418,8310087,LHN,CN-15,53
16386470,17013169,LHN,no official annotation,53
13206239,8847957,LHN,LHN-3,53
3945454,11637003,PN,FFN-4; FFN-5; gustatory-pharyngeal 2nd_order PN; gut 2nd_order PN; respiratory 2nd_order PN; mechano-II/III 2nd_order PN,54
3420915,3622234,PN,FFN-18; gustatory-pharyngeal 2nd_order PN; gut 2nd_order PN,54
3945394,3729504,PN,gut 2nd_order PN; mechano-II/III 2nd_order PN,54
9787933,867393,PN,gut 2nd_order PN,54
12479019,5560620,PN,FFN-17; gut 2nd_order PN,54
9006142,5783868,CN,no official annotation,54
3945225,3793681,PN,gut 2nd_order PN; mechano-II/III 2nd_order PN,54
13854190,5476653,pre-DN-SEZ,no official annotation,54
17176866,17176882,PN,FFN-12; gut 2nd_order PN; mechano-II/III 2nd_order PN,54
3945232,9841469,PN,FFN-4; FFN-5; gustatory-pharyngeal 2nd_order PN; gut 2nd_order PN,54
3157405,8752697,MB-FBN,FAN-1,55
8582134,8469124,LHN,no official annotation,55
8974428,9294475,LHN,no official annotation,55
10427055,17437725,LHN,no official annotation,55
16985194,15068806,PN-somato,mechano-Ch 2nd_order PN,55
11011058,2667061,CN,FFN-2,55
2142817,17415439,pre-DN-SEZ,no official annotation,56
16742642,8546775,pre-DN-SEZ,no official annotation,56
13395814,17756162,pre-DN-SEZ,no official annotation,56
9503414,13950464,PN-somato,mechano-II/III 2nd_order PN,56
17641913,13429045,LHN,no official annotation,56
4379508,3794023,LHN,no official annotation,56
3158123,15225589,LHN,no official annotation,56
9436520,20536322,pre-DN-SEZ,no official annotation,56
9372642,9842000,RGN,no official annotation,56
2439150,11851588,LHN,no official annotation,56
17423412,13038489,LHN,no official annotation,56
3814651,15732471,LHN,no official annotation,56
9524538,11946903,PN-somato,mechano-II/III 2nd_order PN,56
17927604,11605567,pre-DN-SEZ,no official annotation,56
4595609,19120853,ascending,mechano-II/III,56
3946432,2935173,LHN,_WS,56
3928522,16434842,RGN,no official annotation,56
4785242,2935198,LN,no official annotation,56
15421363,3299214,MBON,MBON-j1,57
7983899,7616956,MBIN,OAN-e1,57
15571194,3234817,LN,APL,57
3886356,5966099,MBIN,DAN-d1,57
12871993,4884579,MBIN,DAN-k1,57
17295912,16353832,MBIN,MBIN-b2,57
4381377,10673895,MBIN,DAN-g1,57
15592096,16240569,MBIN,DAN-c1,57
4381129,15404207,MBIN,MBIN-l1,57
8689674,8319311,MBIN,MBIN-b1,57
7901791,2506050,MBIN,DAN-f1,57
12475432,3890028,MBIN,MBIN-e2,57
7057894,6611894,MBIN,DAN-i1,57
4414163,4414184,MBIN,DAN-j1,57
4721538,8069365,LHN,no official annotation,58
5675990,15688523,pre-DN-VNC,no official annotation,58
11216417,8451818,CN,no official annotation,58
12389097,15674269,MB-FFN,FFN-10,58
2797480,13713529,pre-DN-VNC,no official annotation,58
17639784,17438424,CN,CN-9,58
16444758,17762417,pre-DN-SEZ,no official annotation,58
12868041,17340931,CN,CN-35,58
16444552,16339645,CN,CN-35,58
17360262,14758420,LN,no official annotation,58
16545179,14501257,pre-DN-VNC,no official annotation,58
17360296,14757992,LN,no official annotation,58
10875625,4067286,LHN,CN-26,58
8798010,4195012,MBON,MBON-h1; MBON-h2,59
16883909,4234009,MBON,MBON-b3,59
8877158,10163418,MBON,MBON-a1,59
16782830,9469519,MBON,MBON-b2,59
17147698,8094859,MBON,MBON-b1,59
16846805,18028397,MBON,MBON-k1,59
16223537,8980589,MBON,MBON-c1; CN-59,59
17355757,15617305,MBON,MBON-a2,59
8338584,4230749,MBON,MBON-h1; MBON-h2,59
7055857,4241237,MBON,MBON-d1,59
7802210,16797672,MBON,MBON-i1,59
5395823,11524047,MBON,MBON-g2,59
4401350,4598363,MBON,MBON-g1,59
10612094,12122924,MB-FBN,FBN-28; mechano-Ch 2nd_order PN,60
5938794,8310955,LHN,no official annotation,61
16442113,3814175,LHN,FFN-3,61
13197236,8075484,LN,FBN-17; CN-7,61
15766806,13863331,MB-FBN,FBN-15; LHN-12; CN-48,61
12299621,8034919,LHN,CN-17,61
11409587,17019327,CN,mechano-II/III 2nd_order PN,61
15566333,15568333,CN,PL-6,61
9015745,9583435,MB-FFN,FFN-14,61
16089743,10340880,LHN,no official annotation,61
11013351,11909406,LN,CN-11; FBN-12,61
2369444,10119916,LHN,no official annotation,61
9078240,7688300,pre-DN-VNC,no official annotation,61
16433696,19132527,pre-DN-SEZ,no official annotation,62
16428373,5369028,pre-DN-VNC,no official annotation,62
10523825,17455871,pre-DN-VNC,no official annotation,62
17777981,16685117,pre-DN-VNC,no official annotation,62
16348875,15601640,pre-DN-SEZ,no official annotation,62
10600188,8571259,pre-DN-VNC,no official annotation,62
16167914,13834125,pre-DN-VNC,no official annotation,62
10880408,10875178,pre-DN-VNC,no official annotation,62
5769582,9753418,PN-somato,noci 2nd_order PN,62
16468935,10781924,pre-DN-VNC,no official annotation,62
10842047,14914182,pre-DN-SEZ,no official annotation,62
9236708,9212816,CN,CN-23,62
10382686,16100103,LHN,no official annotation,62
16937815,13411525,CN,no official annotation,62
10842099,10882750,pre-DN-VNC,no official annotation,62
10400440,18264509,CN,no official annotation,62
17237305,14948339,CN,CN-18,62
17354414,3021609,pre-DN-VNC,no official annotation,62
10100020,1868538,pre-DN-VNC,no official annotation,62
18500915,16846902,CN,no official annotation,62
21300466,18644088,pre-DN-SEZ,no official annotation,62
15792643,15610774,pre-DN-VNC,no official annotation,62
10411574,17379420,DN-VNC,CN-28; PL-17,62
12782494,15585114,pre-DN-SEZ,no official annotation,62
16683883,5956787,RGN,no official annotation,63
11874130,10868477,sensory,respiratory,63
2138427,5038703,RGN,no official annotation,63
10563755,13535387,RGN,no official annotation,63
7476468,3762787,RGN,no official annotation,63
15639294,7571966,DN-VNC,no official annotation,63
4874953,5469039,RGN,no official annotation,63
16683943,7530253,RGN,no official annotation,63
1398253,15574199,sensory,gut,63
3926669,3727026,RGN,no official annotation,63
15770032,3556191,sensory,gut,63
3926438,3727004,RGN,no official annotation,63
3925724,5955853,RGN,no official annotation,63
5617164,10963761,sensory,respiratory,63
3915835,5638694,sensory,respiratory,63
15769419,15548107,sensory,gut,63
1367171,15559195,sensory,gut,63
3729496,3762317,DN-SEZ,no official annotation,63
40152,15573396,sensory,gut,63
5615961,5601924,RGN,no official annotation,63
1395971,15574231,sensory,gut,63
3926904,7529574,RGN,no official annotation,63
10418394,2260755,RGN,no official annotation,63
17150791,8712361,MB-FBN,CN-10; FAN-2,64
14082322,7840791,MBON,MBON-e1,64
16475849,16823703,MB-FBN,CN-25; FAN-12,64
15398730,6703240,MBON,MBON-n1,64
17176911,4575178,CN,CN-42,64
15253921,4598109,MBON,MBON-f1,64
14540633,4473922,MB-FBN,CN-36; FAN-4; PL-9,64
10702736,14206030,CN,CN-16,64
14541927,4235139,MBIN,MBIN-e1,64
7056904,17176927,pre-DN-SEZ,CN-30,64
12832017,19091931,MB-FFN,FFN-16,64
10202724,5480553,PN,FBN-3; gut 2nd_order PN,64
15810983,6699205,MBON,MBON-d2,64
15668309,17165711,MB-FBN,CN-14; FAN-11,64
17140424,9753530,CN,no official annotation,64
9109799,9074101,MBON,MBON-d3,64
16868923,17013073,MBON,MBON-o1; CN-60,64
11257084,7612147,LHN,LHN-20; CN-56,64
7540581,5516552,MB-FBN,FBN-13; mechano-Ch 2nd_order PN,64
10543751,11464638,CN,CN-4,64
8922644,8297018,MBON,MBON-e2,64
8078096,4514494,MB-FBN,CN-44; FAN-3,64
9409359,3913620,CN,CN-6,64
12478620,16318521,PN,gustatory-pharyngeal 2nd_order PN,64
11003660,16594509,MB-FBN,FBN-1,64
5321459,10809383,MB-FBN,CN-43; FBN-14,64
7910624,7897469,MBON,MBON-q1,64
15997666,15508735,sensory,gustatory-pharyngeal,65
17356442,16443509,pre-DN-VNC,no official annotation,65
16713227,17659014,DN-SEZ,no official annotation,65
8801736,6049565,pre-DN-VNC,PL-14,65
3944330,15732050,DN-SEZ,no official annotation,65
16935790,11359482,PN-somato,proprio 2nd_order PN,65
16383966,7371184,pre-DN-VNC,no official annotation,65
16545101,4812481,pre-DN-VNC,no official annotation,65
17728781,13644685,pre-DN-VNC,no official annotation,65
15431408,16714214,pre-DN-VNC,no official annotation,65
9787592,13191017,DN-SEZ,no official annotation,65
10797407,14760757,pre-DN-VNC,no official annotation,66
11329998,13365464,CN,no official annotation,66
10792617,11278919,pre-DN-VNC,no official annotation,66
16848475,17980792,MB-FBN,FB2N-17,66
17177103,17177115,MB-FFN,FFN-22,66
16492104,10617840,MB-FFN,FFN-40,66
14034311,5976168,DN-SEZ,no official annotation,66
19088042,8717042,CN,no official annotation,66
12279909,8471817,pre-DN-SEZ,no official annotation,66
7388340,15606239,pre-DN-SEZ,no official annotation,66
10583715,11306294,pre-DN-VNC,no official annotation,66
15568134,5973097,pre-DN-SEZ,no official annotation,66
13199414,11234536,MB-FFN,FFN-20,66
9428865,13674287,pre-DN-VNC,no official annotation,66
9527333,13210358,MB-FBN,FB2N-19,66
16051878,8951591,pre-DN-SEZ,no official annotation,66
3044500,6317793,DN-SEZ,no official annotation,66
10345590,15048530,pre-DN-SEZ,no official annotation,66
3946166,3620633,DN-VNC,no official annotation,66
5091874,9287906,MB-FBN,FB2N-15,66
15605301,15607335,pre-DN-SEZ,no official annotation,67
2597151,3158085,pre-DN-VNC,no official annotation,67
12299704,10768709,pre-DN-SEZ,no official annotation,67
17096642,16751955,MB-FFN,FFN-28,67
12233237,11528017,MB-FBN,FB2N-1,67
3931398,3793760,PN-somato,mechano-II/III 2nd_order PN,67
7557604,3276003,pre-DN-VNC,no official annotation,67
15576292,17384874,pre-DN-SEZ,no official annotation,67
12364717,11356523,pre-DN-SEZ,no official annotation,67
11073313,16347476,pre-DN-VNC,no official annotation,68
11079069,10986253,pre-DN-VNC,no official annotation,68
5754346,3764792,DN-VNC,_telegoro-1,68
5690425,19010160,DN-VNC,no official annotation,68
8047280,7587948,DN-VNC,no official annotation,68
17729335,8592501,pre-DN-VNC,no official annotation,68
5680013,17658978,DN-VNC,no official annotation,68
12654063,12990900,pre-DN-SEZ,no official annotation,68
5462159,6446394,DN-VNC,no official annotation,68
19166349,13167730,pre-DN-VNC,no official annotation,68
17280216,4337398,MB-FBN,FB2N-13,69
14539753,12962772,DN-SEZ,no official annotation,69
17315288,5326407,pre-DN-SEZ,no official annotation,69
8802069,4665627,MB-FFN,FFN-9,69
10918898,4228105,pre-DN-VNC,no official annotation,69
17813457,17083341,pre-DN-VNC,PL-24,69
9048462,10612630,MB-FFN,FFN-1,69
9072237,4201020,PN-somato,FFN-8; proprio 2nd_order PN,69
9251793,4190567,MB-FBN,FBN-20,69
9252296,4201555,MB-FBN,FB2N-10; proprio 2nd_order PN,69
18412747,17336347,PN-somato,proprio 2nd_order PN,69
17373283,10339991,CN,no official annotation,69
16933362,4234016,MB-FFN,FFN-41,69
15974183,15662776,CN,PL-8,69
11908619,8318813,CN,no official annotation,69
17177419,4227880,pre-DN-VNC,no official annotation,69
8052161,4152272,MB-FBN,FB2N-14,69
15629759,2659504,pre-DN-VNC,no official annotation,70
10018161,17379360,DN-SEZ,no official annotation,70
18458734,13775497,ascending,unknown modality,70
17359111,16316973,DN-SEZ,no official annotation,70
18123575,17543765,DN-VNC,no official annotation,70
18305433,17587730,DN-VNC,no official annotation,70
17827011,17654973,pre-DN-VNC,no official annotation,70
14638686,11891098,pre-DN-VNC,no official annotation,70
4110483,17587726,DN-VNC,no official annotation,70
12390459,19989037,PN-somato,proprio 2nd_order PN,70
12420377,13242252,pre-DN-VNC,no official annotation,70
17102002,1065967,DN-VNC,no official annotation,70
17354403,12030078,DN-VNC,no official annotation,70
10355356,5898284,pre-DN-VNC,no official annotation,70
16544712,5730322,pre-DN-VNC,no official annotation,70
13370624,14756440,pre-DN-VNC,no official annotation,70
5768240,1805418,pre-DN-SEZ,no official annotation,70
10382824,17297936,pre-DN-VNC,no official annotation,70
16937799,17654991,pre-DN-VNC,PL-16,70
18088813,17660233,pre-DN-VNC,no official annotation,70
17732346,17378648,DN-VNC,no official annotation,70
10018150,17379298,DN-VNC,no official annotation,70
6729443,17937991,pre-DN-VNC,no official annotation,70
10317031,2504517,pre-DN-VNC,no official annotation,70
8723983,16115255,DN-VNC,no official annotation,70
8142831,17655000,pre-DN-VNC,PL-15,70
20379247,17658602,pre-DN-VNC,no official annotation,70
17729347,20479904,pre-DN-VNC,no official annotation,70
16693923,17654967,pre-DN-VNC,no official annotation,70
17352824,13137623,pre-DN-VNC,no official annotation,70
17732334,16347786,DN-VNC,no official annotation,70
20316708,19167389,pre-DN-VNC,no official annotation,70
16928740,15560623,DN-VNC,no official annotation,70
8810141,12422355,pre-DN-VNC,no official annotation,70
19091995,18302931,pre-DN-VNC,no official annotation,70
17359501,13763548,DN-VNC,no official annotation,71
13818467,17813001,pre-DN-SEZ,no official annotation,71
17087885,17324711,DN-SEZ,no official annotation,71
13749806,14034206,DN-VNC,no official annotation,71
14723506,17850822,pre-DN-SEZ,no official annotation,71
17360266,14755393,pre-DN-VNC,no official annotation,71
6572414,13081886,DN-VNC,no official annotation,71
14586769,19048289,pre-DN-VNC,no official annotation,71
15514582,8826198,PN-somato,noci 2nd_order PN,71
14655602,15672269,pre-DN-VNC,no official annotation,71
3945136,13948718,pre-DN-VNC,no official annotation,71
18501001,1805669,pre-DN-VNC,no official annotation,71
11217208,5993001,DN-SEZ,no official annotation,71
12195879,20443598,PN-somato,noci 2nd_order PN,71
10449035,17658948,pre-DN-VNC,no official annotation,71
8070872,12422147,pre-DN-SEZ,no official annotation,71
16676038,13645610,DN-SEZ,no official annotation,71
19298644,17537254,DN-VNC,no official annotation,71
1980134,7982307,DN-VNC,no official annotation,71
12279941,17328632,pre-DN-SEZ,no official annotation,71
18023286,9753494,pre-DN-VNC,no official annotation,71
7130033,5996485,DN-SEZ,no official annotation,71
4901087,18133444,pre-DN-VNC,no official annotation,71
16361363,13953184,pre-DN-SEZ,no official annotation,71
16422727,20443571,pre-DN-VNC,no official annotation,71
16434560,17328580,pre-DN-SEZ,no official annotation,71
1961182,9177218,pre-DN-VNC,no official annotation,71
18035063,17937986,pre-DN-VNC,no official annotation,71
17729973,10870424,pre-DN-VNC,no official annotation,71
19298625,16154290,DN-VNC,no official annotation,71
11009492,17304269,DN-SEZ,no official annotation,71
5745929,16617920,pre-DN-VNC,no official annotation,71
4188290,5010581,DN-VNC,no official annotation,71
9351843,17990556,pre-DN-SEZ,no official annotation,71
17728922,9234420,DN-SEZ,no official annotation,71
11027071,3010486,pre-DN-VNC,no official annotation,71
8814524,17340973,PN-somato,proprio 2nd_order PN,72
17574013,9085808,pre-DN-VNC,no official annotation,72
12998937,14938436,ascending,proprio,72
17109286,6653450,pre-DN-SEZ,no official annotation,72
17975547,15018449,pre-DN-VNC,no official annotation,72
14522404,13774384,ascending,proprio,72
19881737,2505266,PN-somato,proprio 2nd_order PN,72
17110189,6182848,PN-somato,proprio 2nd_order PN,72
15315491,15556861,ascending,proprio,72
17110024,9037152,PN-somato,PL-3; proprio 2nd_order PN,72
3945246,19271710,LN,FB2N-6,73
16415910,9116228,pre-DN-VNC,no official annotation,73
11348509,3765735,pre-DN-VNC,no official annotation,73
9424902,3027876,DN-SEZ,no official annotation,73
16848587,14753815,pre-DN-VNC,no official annotation,73
6591182,6597872,LN,FB2N-11,73
3944626,16195633,DN-SEZ,no official annotation,73
10281116,10351681,MB-FFN,FFN-24,73
10872426,8572353,pre-DN-VNC,no official annotation,73
17176767,17176781,LN,FB2N-18,73
12551020,14756061,pre-DN-VNC,no official annotation,73
3945756,8566140,pre-DN-VNC,no official annotation,73
4274518,19156025,pre-DN-VNC,no official annotation,74
1646076,10276161,pre-DN-VNC,no official annotation,74
13743125,17854345,MB-FBN,CN-31; FBN-26; noci 2nd_order PN,74
11525714,12805363,MBIN,OAN-g1,74
14329745,19786464,CN,no official annotation,74
16026677,14495367,CN,no official annotation,74
12587013,9015568,LHN,CN-39,74
10758204,2650887,pre-DN-VNC,no official annotation,74
14493841,11361875,PN-somato,FFN-27; noci 2nd_order PN,74
16342197,12031406,pre-DN-VNC,no official annotation,74
14260575,16987409,MB-FBN,FAN-9,74
16464284,8184598,CN,no official annotation,74
6298455,6193472,pre-DN-VNC,no official annotation,74
11871574,11102156,CN,no official annotation,74
16445338,16350988,pre-DN-VNC,no official annotation,74
8993049,17867309,pre-DN-SEZ,no official annotation,74
11018254,15480928,MB-FBN,CN-13; FBN-6,75
8118947,14077615,MB-FBN,FBN-16,75
12398622,4103336,MB-FBN,FB2N-7,75
2966602,12704069,MB-FBN,CN-21; FBN-4,75
12262910,5738449,MB-FBN,CN-38; FAN-6,75
7053966,4214582,CN,no official annotation,75
14313750,11889676,MB-FBN,CN-12; FBN-8,75
18062678,7065182,LN,CN-20,75
16160495,8814922,MB-FBN,FB2N-16,75
15510288,6300434,MB-FFN,FFN-7,75
7026287,7980369,MB-FBN,FBN-23,75
9527522,14083681,MB-FBN,CN-19; FBN-9,75
9057998,14214039,CN,no official annotation,76
10323628,8370111,PN,respiratory 2nd_order PN,76
14071613,4411542,CN,CN-22,76
8540770,15488316,MB-FBN,FB2N-8,76
16385470,18098174,MB-FFN,FFN-23,76
9051960,17813006,CN,no official annotation,76
14071449,13953546,CN,no official annotation,76
14133114,17166682,LHN,no official annotation,76
9083312,14077179,MB-FBN,FB2N-2,76
15594113,15590555,pre-DN-SEZ,no official annotation,76
15522152,15548844,DN-VNC,no official annotation,77
16445073,15481779,pre-DN-VNC,no official annotation,77
19017386,8127390,pre-DN-VNC,no official annotation,77
16978882,14127447,MB-FFN,FFN-15,77
10596949,13411445,pre-DN-VNC,no official annotation,77
14617508,14680483,pre-DN-VNC,CN-34,77
17176808,17176819,MB-FFN,FFN-6,77
17360282,14754777,pre-DN-VNC,no official annotation,77
16444544,8981761,LHN,no official annotation,77
9480916,9077224,pre-DN-VNC,no official annotation,78
20151537,12474815,pre-DN-VNC,no official annotation,78
10017944,16913476,pre-DN-VNC,no official annotation,78
15468308,17330632,CN,no official annotation,78
17067625,16340011,pre-DN-VNC,no official annotation,78
18111410,4876839,pre-DN-VNC,no official annotation,78
9384504,5935744,pre-DN-VNC,no official annotation,78
10229852,16347283,PN-somato,noci 2nd_order PN,78
16340977,18232369,DN-SEZ,no official annotation,78
16340998,8007556,MB-FFN,FFN-25,78
16541149,10079731,PN-somato,noci 2nd_order PN,78
10234576,19090042,pre-DN-VNC,no official annotation,78
14621584,17355864,pre-DN-VNC,no official annotation,78
14492757,14656798,pre-DN-VNC,no official annotation,78
10581624,13564607,pre-DN-VNC,no official annotation,78
15722990,9604434,pre-DN-VNC,no official annotation,78
1679034,14374534,pre-DN-VNC,no official annotation,78
8357933,13764822,DN-SEZ,no official annotation,78
9239759,9034378,pre-DN-VNC,no official annotation,78
16931001,8709865,pre-DN-VNC,no official annotation,78
15055590,14492880,pre-DN-VNC,no official annotation,78
16851791,16340461,pre-DN-VNC,no official annotation,78
17728695,10367190,pre-DN-VNC,no official annotation,78
