id,x,y,z,type,excitation_type
5684940,74114.398,43620.894,54924.509,DN-SEZ,0
5688091,60771.465,38382.140,50205.513,DN-SEZ,0
5689639,70466.866,40886.410,57782.379,UNKNOWN,1
5690425,67820.314,57697.567,71890.515,DN-VNC,1
5691934,70901.239,38495.901,53231.591,PN-somato,1
5700090,29858.267,32021.305,46488.397,pre-DN-VNC,3
5704424,87190.072,50405.820,56599.437,UNKNOWN,1
5708994,66919.655,48868.249,51364.772,PN,1
5712849,85144.608,41485.351,57561.965,UNKNOWN,1
5730322,32942.627,41478.620,46596.693,pre-DN-VNC,3
5734134,41124.413,30640.501,44593.559,UNKNOWN,1
5738449,40112.010,30544.941,30516.841,MB-FBN,3
5744058,72291.402,33488.874,47929.819,PN-somato,1
5744502,84434.757,47880.719,60011.944,UNKNOWN,1
5745110,72057.147,36530.304,53127.355,pre-DN-VNC,3
5745929,65355.046,38458.653,48060.397,pre-DN-VNC,3
5746180,66459.331,34569.408,56386.637,pre-DN-VNC,3
5747036,76674.244,39331.728,56854.069,UNKNOWN,1
5750884,76609.109,42343.132,55862.202,PN-somato,1
5754346,62724.261,45052.528,57537.312,DN-VNC,1
5755261,85003.583,43931.252,58652.788,PN-somato,1
5760480,72861.186,42484.707,58066.876,pre-DN-VNC,3
5762666,69222.148,42131.691,57913.633,LHN,2
5763407,76018.960,42001.727,55560.456,DN-VNC,1
5764924,61049.984,45911.740,54681.181,DN-SEZ,0
5767836,84199.059,46966.146,60584.882,UNKNOWN,1
5768240,72371.086,39948.614,61443.794,pre-DN-SEZ,3
5769582,69521.693,36331.723,53779.632,PN-somato,1
5771934,28673.851,31499.138,36730.598,UNKNOWN,1
5778133,86715.630,47187.611,61327.902,pre-DN-VNC,3
5782947,25502.293,40306.367,37961.229,pre-DN-VNC,3
5783868,34968.274,37246.902,38136.461,CN,2
5786898,29107.095,44287.568,41379.409,pre-DN-VNC,3
5790355,29533.950,44387.475,43397.624,pre-DN-VNC,3
5791548,31823.332,39258.357,42159.148,CN,2
5794678,42603.188,52586.384,60763.594,DN-VNC,1
5805651,39050.178,44001.375,46117.160,pre-DN-VNC,3
5816138,28419.726,44432.300,44054.392,pre-DN-VNC,3
5835799,31562.378,27037.971,39087.653,KC,1
5835815,31080.322,25016.880,41629.324,KC,1
5836035,31064.784,27279.059,39460.666,KC,1
5836163,32664.512,28136.187,40251.217,KC,1
5836181,31091.981,24886.286,41774.271,KC,1
5836197,30921.267,28876.539,39256.115,KC,1
5836206,31924.606,29182.892,38450.896,KC,1
5836387,31623.016,25791.045,40674.196,KC,1
5855343,33748.399,41647.006,51747.371,UNKNOWN,1
5856647,44467.035,41689.150,43143.495,pre-DN-VNC,3
5858788,30847.798,39367.662,55094.881,UNKNOWN,1
5859372,43179.137,42680.987,44036.240,pre-DN-VNC,3
5865628,60312.536,40118.752,53176.993,UNKNOWN,1
5869204,38338.850,21341.559,39041.066,RGN,1
5870071,81200.869,52118.785,46663.942,MB-FBN,3
5874480,79506.646,25151.570,50242.243,UNKNOWN,1
5890323,39555.585,21737.316,38942.343,RGN,1
5893912,35134.303,43539.317,54713.960,pre-DN-VNC,3
5895651,34579.229,43625.739,51800.723,pre-DN-VNC,3
5898284,35044.819,36636.640,55051.835,pre-DN-VNC,3
5900426,36379.880,51544.833,60077.891,DN-VNC,1
5902352,58199.083,37148.376,50428.718,pre-DN-VNC,3
5934511,49314.168,37467.460,41689.931,MB-FBN,3
5935744,59211.679,42096.964,41845.692,pre-DN-VNC,3
5936935,46885.080,35705.554,48304.741,pre-DN-VNC,3
5937084,75690.749,31683.972,48628.481,KC,1
5938794,78019.110,26693.143,56365.543,LHN,2
5946241,31567.965,36547.244,49761.280,PN-somato,1
5955853,47940.255,20282.054,36062.967,RGN,1
5956787,46634.759,25268.492,35768.311,RGN,1
5959820,82835.467,29768.943,64075.568,pre-DN-SEZ,3
5963873,79729.374,27227.822,53896.196,LHN,2
5966099,39928.578,34851.170,38140.099,MBIN,1
5971400,44183.992,25752.124,37954.799,UNKNOWN,1
5973097,43202.498,23484.844,42678.756,pre-DN-SEZ,3
5975584,43735.139,30311.013,37545.147,UNKNOWN,1
5976168,44090.474,31144.501,39519.820,DN-SEZ,0
5993001,36664.009,29813.125,41006.455,DN-SEZ,0
5993765,33562.192,39191.011,51195.155,DN-VNC,1
5995125,37033.473,53653.525,65135.595,DN-VNC,1
5996485,45137.993,31271.604,36546.383,DN-SEZ,0
6011278,59677.297,21905.519,44680.222,UNKNOWN,1
6049565,45805.991,40085.934,51309.170,pre-DN-VNC,3
6061068,35663.473,21384.889,34354.032,UNKNOWN,1
6111289,44140.170,38553.278,44742.533,UNKNOWN,1
6114695,44752.567,60254.087,87499.031,DN-VNC,1
6125806,32035.466,46297.970,55807.463,DN-VNC,1
6133702,30202.011,20863.001,41120.076,UNKNOWN,1
6143930,53498.647,39953.419,46517.536,pre-DN-VNC,3
6153877,32987.248,49007.801,53243.011,DN-VNC,1
6154200,36354.291,54113.960,64507.399,DN-VNC,1
6154921,35358.017,52334.490,61997.375,DN-VNC,1
6155577,35603.223,53173.995,62598.892,DN-VNC,1
6156152,31214.734,47662.884,47897.775,DN-VNC,1
6182848,45791.715,44578.467,47302.145,PN-somato,1
6188181,45645.838,46603.505,43581.549,pre-DN-VNC,3
6190181,41824.221,42701.400,40315.343,pre-DN-VNC,3
6193472,37313.050,35696.361,39067.734,pre-DN-VNC,3
6218461,44682.603,43352.338,46784.104,PN,1
6219445,37118.119,65531.408,44074.489,DN-SEZ,0
6219781,31252.895,60721.413,42718.959,LN,0
6220384,29730.977,58687.175,46446.220,PN,1
6250655,33951.946,43013.213,45783.047,UNKNOWN,1
6252764,28377.143,47770.256,48943.106,PN,1
6290724,35747.070,30128.982,31517.949,MB-FBN,3
6298455,67025.369,36901.051,42811.760,pre-DN-VNC,3
6300434,39485.911,31789.316,32357.013,MB-FFN,1
6317793,40616.940,36179.866,45157.282,DN-SEZ,0
6340439,78848.816,58436.330,34964.558,sensory,1
6445994,54880.963,53579.360,41782.340,DN-SEZ,0
6446394,42784.989,56832.318,76237.163,DN-VNC,1
6451332,65049.819,41336.128,43714.118,PN,1
6494274,81942.924,30205.763,62168.795,LHN,2
6494382,81897.777,29937.921,57910.988,LHN,2
6554358,47099.812,45500.991,46108.199,DN-SEZ,0
6557581,28882.819,57950.955,39177.973,LN,0
6572414,61522.995,45494.351,56834.442,DN-VNC,1
6591182,63633.858,26777.810,35559.601,LN,0
6597872,46533.440,24648.943,30611.777,LN,0
6604203,62340.465,41652.890,49325.930,DN-SEZ,0
6609380,30364.819,42599.736,46136.845,pre-DN-VNC,3
6610913,41399.544,42511.229,38825.099,pre-DN-SEZ,3
6611100,39261.377,34452.157,33771.060,CN,2
6611894,45137.594,29772.737,32706.934,MBIN,1
6623049,78201.648,42631.161,56265.594,LN,0
6623089,79264.749,44245.451,54412.731,pre-DN-VNC,3
6633635,72995.848,40715.878,50861.969,PN-somato,1
6653450,43507.130,41330.327,41505.323,pre-DN-SEZ,3
6692908,29569.486,40753.472,51908.302,PN-somato,1
6699205,31472.071,34924.133,32045.589,MBON,2
6700147,35856.223,54841.000,59205.624,DN-VNC,1
6702830,73496.417,28614.917,52705.198,KC,1
6702943,48189.830,50506.972,48790.881,DN-SEZ,0
6703240,30303.234,29065.366,30162.915,MBON,2
6704232,74778.545,28315.738,54550.965,KC,1
6723364,80790.244,41400.387,56371.413,PN-somato,1
6729443,80560.305,44549.270,59518.877,pre-DN-VNC,3
6791927,80212.359,64039.260,35331.581,sensory,1
6883831,34626.592,66094.133,30049.166,sensory,1
6978585,67659.352,23835.984,42390.895,RGN,1
7005145,52629.418,59313.766,90198.776,DN-VNC,1
7005184,59924.463,52178.062,97720.552,DN-VNC,1
7012280,72556.533,85705.531,153601.382,sensory,1
7020344,48481.905,42485.982,51720.389,PN,1
7025064,77607.958,43216.039,43036.907,pre-DN-VNC,3
7025831,81783.204,43978.484,44032.639,pre-DN-VNC,3
7026287,59302.835,34266.186,35122.103,MB-FBN,3
7053966,64475.400,35135.591,37439.219,CN,2
7055857,68158.369,36188.093,38361.234,MBON,2
7056904,74931.292,34310.679,38816.989,pre-DN-SEZ,3
7057730,78342.023,48281.455,47245.400,pre-DN-VNC,3
7057894,65612.463,30785.409,37341.164,MBIN,1
7058243,78329.189,45454.512,44010.253,MB-FFN,1
7065182,43918.737,30016.880,32875.733,LN,0
7092086,74819.756,43020.765,52278.713,UNKNOWN,1
7092417,77248.057,41545.420,45787.521,PN,1
7107433,77268.419,41731.118,48392.001,PN,1
7124156,55173.455,74574.787,95751.239,ascending,1
7130033,57971.807,38328.124,44945.405,DN-SEZ,0
7160160,33794.464,72068.755,38621.497,sensory,1
7168356,74537.783,50812.134,52668.683,pre-DN-VNC,3
7184082,58132.832,81780.463,97788.922,ascending,1
7187384,77049.639,32446.658,48981.567,KC,1
7196392,31308.503,25253.096,43514.251,KC,1
7198338,76882.217,42190.710,48023.235,PN,1
7227010,61429.483,53757.041,78658.543,DN-VNC,1
7283193,76380.340,41745.040,55324.956,UNKNOWN,1
7313896,45883.772,56798.887,64224.636,MB-FFN,1
7331555,43725.551,75523.695,132828.990,sensory,1
7335439,67372.337,32855.735,55441.933,DN-VNC,1
7338309,58905.906,41401.435,53419.813,DN-SEZ,0
